title,company,location,posted_date,apply_url,source,category,application_status,notes,date_applied,scraped_at
Payroll Systems Engineer (For Afser Group Bangladesh) - Job ID : 1486825,Bdjobs.com,"Mirpur, Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/payroll-systems-engineer-for-afser-group-bangladesh-job-id-1486825-at-bdjobs-com-4410141764,linkedin.com,software engineer,Not Applied,,,2026-05-19
Software Quality Assurance Engineer,TransMedia Inc.,"Dhaka, Bangladesh",2026-04-16,https://bd.linkedin.com/jobs/view/software-quality-assurance-engineer-at-transmedia-inc-4401871120,linkedin.com,software engineer,Not Applied,,,2026-05-19
SQA Engineer (For EduTune Learning Technologies Limited) - Job ID: 1484397,Bdjobs.com,"Khulna, Bangladesh",2026-05-05,https://bd.linkedin.com/jobs/view/sqa-engineer-for-edutune-learning-technologies-limited-job-id-1484397-at-bdjobs-com-4408181290,linkedin.com,software engineer,Not Applied,,,2026-05-19
Junior PHP-Laravel Developer,Wizard Software & Technology Bangladesh Ltd.,"Dhaka, Dhaka, Bangladesh",2026-01-07,https://bd.linkedin.com/jobs/view/junior-php-laravel-developer-at-wizard-software-technology-bangladesh-ltd-4330901147,linkedin.com,web developer,Not Applied,,,2026-05-19
PHP Developer,Btab Group,Bangladesh,2026-05-13,https://bd.linkedin.com/jobs/view/php-developer-at-btab-group-4410350106,linkedin.com,web developer,Not Applied,,,2026-05-19
FULL STACK PHP DEVELOPER,TECHNIX TECHNOLOGY,Bangladesh,2025-04-11,https://bd.linkedin.com/jobs/view/full-stack-php-developer-at-technix-technology-4208244267,linkedin.com,web developer,Not Applied,,,2026-05-19
Junior Web Developer - (For Dokmi) - Job ID - 1483191,Bdjobs.com,"Dhaka, Bangladesh",2026-05-02,https://bd.linkedin.com/jobs/view/junior-web-developer-for-dokmi-job-id-1483191-at-bdjobs-com-4407264270,linkedin.com,web developer,Not Applied,,,2026-05-19
Junior Web Designer (Entry Level / Fresher),Therap (BD) Ltd.,"Dhaka, Dhaka, Bangladesh",2026-01-26,https://bd.linkedin.com/jobs/view/junior-web-designer-entry-level-fresher-at-therap-bd-ltd-4365923490,linkedin.com,web developer,Not Applied,,,2026-05-19
Frontend Developer (React) - (For Walton Plaza) - Job ID - 1487651,Bdjobs.com,"Dhaka, Bangladesh",2026-05-14,https://bd.linkedin.com/jobs/view/frontend-developer-react-for-walton-plaza-job-id-1487651-at-bdjobs-com-4411131803,linkedin.com,web developer,Not Applied,,,2026-05-19
Full Stack Web Developer,Wing Assistant,"Dhaka, Dhaka, Bangladesh",2026-01-08,https://bd.linkedin.com/jobs/view/full-stack-web-developer-at-wing-assistant-4352171983,linkedin.com,web developer,Not Applied,,,2026-05-19
Frontend Developer (React / Next.js) (For Probashi Palli Group) - Job ID : 1485390,Bdjobs.com,"Dhaka, Bangladesh",2026-05-09,https://bd.linkedin.com/jobs/view/frontend-developer-react-next-js-for-probashi-palli-group-job-id-1485390-at-bdjobs-com-4411955597,linkedin.com,web developer,Not Applied,,,2026-05-19
Software & Web Developer - For A Renowned Group of Company- Job ID: 1488603,Bdjobs.com,"Gazipur, Dhaka, Bangladesh",2026-05-17,https://bd.linkedin.com/jobs/view/software-web-developer-for-a-renowned-group-of-company-job-id-1488603-at-bdjobs-com-4412204897,linkedin.com,web developer,Not Applied,,,2026-05-19
